+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
| CYCLE  | FETCH  | DECODE | EXECUT | MEMORY | WRITE  |   r0   |   r1   |   r2   |   r3   |   r4   |   r5   |   r6   |   r7   |   r8   |   r9   |  r10   |  r11   |  r12   |  r13   |   sp   |   ra   |
|     38 | I16    | I15    |  ....  |  ....  | I14    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     39 | I16    | I15    |  ....  |  ....  |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     40 | I17    | I16    | I15    |  ....  |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     41 | I17    | I16    |  ....  | I15    |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     42 | I17    | I16    |  ....  |  ....  | I15    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    ffb4|       0|
|     43 | I17    | I16    |  ....  |  ....  |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     44 | I18    | I17    | I16    |  ....  |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     45 | I19    | I18    | I17    | I16    |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     46 | I20    | I19    | I18    | I17    | I16    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     47 | I21    | I20    | I19    | I18    | I17    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     48 | I22    | I21    | I20    | I19    | I18    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     49 | I23    |  ....  |  ....  | I20    | I19    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|    fffc|       0|
|     50 |  ....  | I23    |  ....  |  ....  | I20    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     51 |  ....  |  ....  | I23    |  ....  |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     52 |  ....  |  ....  |  ....  | I23    |  ....  |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
|     53 |  ....  |  ....  |  ....  |  ....  | I23    |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
|           Register Values at Termination            |      58|       0|       0|       0|       0|       9|       0|       0|       0|       0|       0|       0|       0|       0|   186a0|       0|
+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+--------+
